epoch,lr,train_loss,mAP50,precision,recall
1,0.00019897,86.44774,0,0,0
2,0.00039502,78.31425,0.2146,0.3384,0.341
3,0.00058711,71.46298,0.3189,0.3656,0.4085
4,0.00077524,69.35901,0.3559,0.331,0.5261
5,0.00095941,79.8328,0.3972,0.4062,0.5881
6,0.0009505,70.18954,0.5066,0.4467,0.6714
7,0.0009406,70.73027,0.4749,0.4622,0.6922
8,0.0009307,65.98949,0.5244,0.4975,0.6851
9,0.0009208,66.65833,0.5614,0.5322,0.7202
10,0.0009109,72.31978,0.5606,0.5398,0.735
11,0.000901,79.42607,0.5647,0.5244,0.7291
12,0.0008911,67.18612,0.5879,0.5126,0.7438
13,0.0008812,78.90134,0.6252,0.5981,0.7108
14,0.0008713,72.58299,0.5938,0.5392,0.7388
15,0.0008614,64.09106,0.6178,0.5746,0.7711
16,0.0008515,56.52189,0.6674,0.5756,0.7963
17,0.0008416,58.30062,0.6261,0.5656,0.7661
18,0.0008317,63.3623,0.6429,0.5789,0.7874
19,0.0008218,70.75966,0.6315,0.5652,0.7746
20,0.0008119,60.34718,0.6744,0.6219,0.8054
21,0.000802,59.26281,0.6623,0.645,0.7843
22,0.0007921,52.18671,0.6906,0.6058,0.8289
23,0.0007822,59.9604,0.6997,0.5909,0.8209
24,0.0007723,63.907,0.6713,0.6149,0.7911
25,0.0007624,52.71824,0.6932,0.5961,0.8054
26,0.0007525,62.41425,0.7396,0.6387,0.8151
27,0.0007426,55.2977,0.6961,0.5947,0.8521
28,0.0007327,70.61278,0.7573,0.687,0.8238
29,0.0007228,51.69628,0.7258,0.644,0.8553
30,0.0007129,60.38084,0.7382,0.6728,0.8215
31,0.000703,59.65784,0.7391,0.6793,0.8286
32,0.0006931,57.27697,0.7514,0.6946,0.8284
33,0.0006832,54.1734,0.7514,0.6715,0.8601
34,0.0006733,56.39102,0.7543,0.6397,0.8324
35,0.0006634,55.47844,0.7791,0.6895,0.8187
36,0.0006535,51.1696,0.7571,0.6318,0.8154
37,0.0006436,47.24013,0.7708,0.6936,0.8326
38,0.0006337,60.0852,0.8165,0.7161,0.8235
39,0.0006238,54.05696,0.7616,0.6831,0.8249
40,0.0006139,57.81453,0.7855,0.7108,0.8133
41,0.000604,51.82706,0.8349,0.7654,0.7869
42,0.0005941,59.97296,0.8337,0.7347,0.8152
43,0.0005842,69.89523,0.8277,0.7647,0.7781
44,0.0005743,53.93294,0.7916,0.7083,0.8087
45,0.0005644,54.18863,0.8205,0.7302,0.8462
46,0.0005545,56.66873,0.8457,0.7884,0.7618
47,0.0005446,44.44817,0.8702,0.7733,0.8199
48,0.0005347,47.49959,0.8521,0.806,0.7723
49,0.0005248,51.73834,0.8643,0.7884,0.8272
50,0.0005149,52.48918,0.8302,0.6943,0.8456
51,0.000505,50.43001,0.8506,0.7582,0.7979
52,0.0004951,55.03174,0.8588,0.7963,0.7838
53,0.0004852,47.62346,0.8744,0.7897,0.8449
54,0.0004753,54.04738,0.8704,0.8018,0.8342
55,0.0004654,50.86437,0.8837,0.8089,0.8529
56,0.0004555,50.64767,0.8716,0.7567,0.8646
57,0.0004456,47.10698,0.8939,0.7896,0.8391
58,0.0004357,50.06666,0.9114,0.8641,0.8311
59,0.0004258,50.65905,0.8811,0.8282,0.8495
60,0.0004159,52.84356,0.8981,0.8357,0.8592
61,0.000406,49.30941,0.8985,0.8141,0.8475
62,0.0003961,53.61111,0.8897,0.8097,0.843
63,0.0003862,40.84136,0.9097,0.8374,0.8565
64,0.0003763,49.63758,0.9056,0.8238,0.8608
65,0.0003664,47.18223,0.9021,0.858,0.8488
66,0.0003565,45.45203,0.8793,0.8118,0.8272
67,0.0003466,41.55354,0.8944,0.8323,0.8459
68,0.0003367,48.85503,0.9079,0.8727,0.832
69,0.0003268,47.15903,0.8996,0.823,0.8641
70,0.0003169,44.76687,0.9028,0.8594,0.8671
71,0.000307,40.09693,0.9124,0.8676,0.8517
72,0.0002971,43.62002,0.9023,0.8165,0.8777
73,0.0002872,42.07405,0.92,0.88,0.862
74,0.0002773,39.63506,0.9024,0.8343,0.8715
75,0.0002674,40.08273,0.9217,0.8508,0.8845
76,0.0002575,43.48651,0.9047,0.8449,0.8642
77,0.0002476,40.05733,0.9057,0.8495,0.877
78,0.0002377,40.90997,0.8958,0.8281,0.8751
79,0.0002278,36.86491,0.9068,0.8406,0.8724
80,0.0002179,42.61205,0.9101,0.8817,0.8668
81,0.000208,36.67174,0.9161,0.8474,0.8814
82,0.0001981,43.54785,0.9211,0.8773,0.877
83,0.0001882,37.3562,0.9205,0.8872,0.8689
84,0.0001783,41.86211,0.9144,0.8752,0.8756
85,0.0001684,40.76693,0.9175,0.8705,0.8868
86,0.0001585,43.85792,0.9145,0.8908,0.8895
87,0.0001486,41.91428,0.9227,0.8764,0.8996
88,0.0001387,37.76182,0.9193,0.8941,0.8757
89,0.0001288,37.39435,0.925,0.9003,0.9082
90,0.0001189,43.68569,0.9238,0.9021,0.8997
91,0.000109,35.79111,0.9248,0.8796,0.891
92,9.91e-05,37.43586,0.9258,0.8955,0.8783
93,8.92e-05,33.26211,0.9247,0.8811,0.8931
94,7.93e-05,34.04146,0.9206,0.885,0.8914
95,6.94e-05,31.59682,0.9222,0.8689,0.8998
96,5.95e-05,35.41686,0.9181,0.9055,0.8841
97,4.96e-05,30.16593,0.9252,0.9015,0.8852
98,3.97e-05,32.21422,0.9271,0.9034,0.8987
99,2.98e-05,43.10085,0.9246,0.8839,0.907
100,1.99e-05,29.69946,0.9251,0.887,0.9083
